frame,keypoints
0,"[[0.3868584632873535, 0.4560617208480835, 0.04258792847394943], [0.36095306277275085, 0.49659818410873413, 0.05860143527388573], [0.39051586389541626, 0.4506804347038269, 0.041656170040369034], [0.3781946301460266, 0.47701892256736755, 0.03135722130537033], [0.4501528739929199, 0.543777585029602, 0.02386512979865074], [0.4004082679748535, 0.7082393169403076, 0.006578899919986725], [0.39827021956443787, 0.45843684673309326, 0.0142678152769804], [0.47392064332962036, 0.724724531173706, 0.007741003297269344], [0.4372773766517639, 0.3800923526287079, 0.012363934889435768], [0.5300366878509521, 0.6244076490402222, 0.010314851999282837], [0.3328070640563965, 0.030879314988851547, 0.06589101254940033], [0.35413798689842224, 0.5884881019592285, 0.05902823060750961], [0.3584255874156952, 0.46120554208755493, 0.06615663319826126], [0.3725695312023163, 0.5185371041297913, 0.008520637638866901], [0.3721294105052948, 0.4796353578567505, 0.01096467673778534], [0.5658587217330933, 0.49146294593811035, 0.0082020815461874], [0.5469770431518555, 0.5237748622894287, 0.01572868414223194]]"
1,"[[0.38691580295562744, 0.4556739032268524, 0.04217163845896721], [0.36101990938186646, 0.4961949288845062, 0.05867417901754379], [0.3905979096889496, 0.4503059387207031, 0.04178081452846527], [0.3781728744506836, 0.47667330503463745, 0.031315237283706665], [0.4502323567867279, 0.5434907078742981, 0.023882009088993073], [0.4003690481185913, 0.7081892490386963, 0.006588212680071592], [0.39823490381240845, 0.45820730924606323, 0.014244082383811474], [0.4738437831401825, 0.7248145937919617, 0.00773256178945303], [0.437284916639328, 0.38009732961654663, 0.012346665374934673], [0.5300393104553223, 0.6244336366653442, 0.010334771126508713], [0.33287912607192993, 0.030800044536590576, 0.06670891493558884], [0.3542149066925049, 0.5886515974998474, 0.05905138701200485], [0.35854944586753845, 0.4613245725631714, 0.06631063669919968], [0.37256503105163574, 0.5185036659240723, 0.008518853224813938], [0.3721007704734802, 0.4796484708786011, 0.010974542237818241], [0.565839946269989, 0.49152278900146484, 0.008185441605746746], [0.5469617247581482, 0.5238415598869324, 0.015768717974424362]]"
2,"[[0.3870013952255249, 0.4557943046092987, 0.04239474982023239], [0.36112236976623535, 0.4962884187698364, 0.05849829316139221], [0.39068540930747986, 0.45047706365585327, 0.04174498841166496], [0.3783060908317566, 0.4768005311489105, 0.03136239945888519], [0.4503125846385956, 0.5437411069869995, 0.023936297744512558], [0.4004700779914856, 0.7081388235092163, 0.006570278666913509], [0.39837154746055603, 0.4583331346511841, 0.01434387732297182], [0.47389328479766846, 0.7246410250663757, 0.007649658713489771], [0.4633391797542572, 0.3841634690761566, 0.010094263590872288], [0.5300297141075134, 0.6243457794189453, 0.010285824537277222], [0.33286648988723755, 0.0308575090020895, 0.0662677139043808], [0.37321650981903076, 0.5711193680763245, 0.060671012848615646], [0.3585987985134125, 0.46125444769859314, 0.06623343378305435], [0.3725840747356415, 0.5183733105659485, 0.00851316750049591], [0.37214574217796326, 0.4796083867549896, 0.010974004864692688], [0.5658749938011169, 0.49141615629196167, 0.00818702019751072], [0.5469861030578613, 0.5238224864006042, 0.015732983127236366]]"
3,"[[0.3871985673904419, 0.456220805644989, 0.043977223336696625], [0.36132705211639404, 0.49667665362358093, 0.05931264907121658], [0.3908345103263855, 0.4509194493293762, 0.04241364821791649], [0.3783773183822632, 0.47725433111190796, 0.03206516429781914], [0.4500546157360077, 0.5438170433044434, 0.02413197048008442], [0.40028294920921326, 0.7082042694091797, 0.006585107650607824], [0.3983461558818817, 0.45841580629348755, 0.014511268585920334], [0.4738321900367737, 0.724869430065155, 0.007715360261499882], [0.46333178877830505, 0.3843516707420349, 0.010250520892441273], [0.548882007598877, 0.6212462782859802, 0.008907276205718517], [0.33293402194976807, 0.030750028789043427, 0.06530463695526123], [0.3542648255825043, 0.5887283682823181, 0.05887630954384804], [0.3586769104003906, 0.4611961245536804, 0.06607847660779953], [0.3725505769252777, 0.5183702707290649, 0.00857599638402462], [0.3721666932106018, 0.47972309589385986, 0.011043624952435493], [0.5658488869667053, 0.4915102422237396, 0.008222023025155067], [0.546951174736023, 0.523894190788269, 0.015784960240125656]]"
4,"[[0.38703274726867676, 0.45584437251091003, 0.04270794987678528], [0.3611743152141571, 0.49632880091667175, 0.058868031948804855], [0.39070552587509155, 0.45052894949913025, 0.0419682152569294], [0.3783382177352905, 0.47689303755760193, 0.03156159445643425], [0.4502969980239868, 0.5438050627708435, 0.023992808535695076], [0.400541752576828, 0.7081451416015625, 0.006577067542821169], [0.39839407801628113, 0.4583371877670288, 0.014391335658729076], [0.47397077083587646, 0.7246077060699463, 0.007640216965228319], [0.4633065164089203, 0.38421356678009033, 0.010111253708600998], [0.5300891995429993, 0.6243606209754944, 0.01026921160519123], [0.33287784457206726, 0.0308536347001791, 0.06643744558095932], [0.3732158839702606, 0.5711106061935425, 0.06058944761753082], [0.35862478613853455, 0.4612284302711487, 0.06622548401355743], [0.37261947989463806, 0.5183143019676208, 0.008539033122360706], [0.3721844553947449, 0.4795835018157959, 0.010996591299772263], [0.5658868551254272, 0.49138784408569336, 0.008196350187063217], [0.5469987392425537, 0.5238069295883179, 0.015709811821579933]]"
5,"[[0.386965811252594, 0.4559333026409149, 0.042893100529909134], [0.361105740070343, 0.4964442253112793, 0.05891700088977814], [0.3906230628490448, 0.45061904191970825, 0.04205919802188873], [0.3782852292060852, 0.4770480990409851, 0.03167815878987312], [0.4501521587371826, 0.543734610080719, 0.024035539478063583], [0.40043434500694275, 0.7080945372581482, 0.0066378372721374035], [0.3983514904975891, 0.4583665728569031, 0.014424907974898815], [0.4738323390483856, 0.7247213125228882, 0.007693130522966385], [0.4372651278972626, 0.3802928328514099, 0.012383968569338322], [0.5299699902534485, 0.624367356300354, 0.01030226331204176], [0.3328261375427246, 0.030934587121009827, 0.0661415383219719], [0.3542802929878235, 0.5885281562805176, 0.059021517634391785], [0.3585808277130127, 0.46120208501815796, 0.06622325628995895], [0.3726186454296112, 0.5182973742485046, 0.008560732007026672], [0.3721993565559387, 0.47954806685447693, 0.011041473597288132], [0.5658272504806519, 0.4913859963417053, 0.00819782167673111], [0.5469103455543518, 0.5238233804702759, 0.015697864815592766]]"
6,"[[0.38692575693130493, 0.45594343543052673, 0.04272867739200592], [0.36105936765670776, 0.4964553713798523, 0.05887814983725548], [0.39058804512023926, 0.45062288641929626, 0.04192575067281723], [0.3782384395599365, 0.477062463760376, 0.031571414321660995], [0.45014864206314087, 0.5437189340591431, 0.024013489484786987], [0.4003763794898987, 0.7080670595169067, 0.006677001249045134], [0.3983024060726166, 0.45833367109298706, 0.01437836792320013], [0.47380825877189636, 0.7248049974441528, 0.007726030889898539], [0.4632135033607483, 0.38422128558158875, 0.01009936723858118], [0.5299925804138184, 0.6244019269943237, 0.010318893939256668], [0.33284425735473633, 0.030881687998771667, 0.06635383516550064], [0.35427796840667725, 0.5885933041572571, 0.05910306051373482], [0.3585909307003021, 0.4612458646297455, 0.0662931501865387], [0.37263715267181396, 0.5183311700820923, 0.008557422086596489], [0.37218278646469116, 0.47953474521636963, 0.01103376317769289], [0.565831184387207, 0.4914044737815857, 0.008195179514586926], [0.546915590763092, 0.5238344073295593, 0.015711717307567596]]"
7,"[[0.3868507146835327, 0.4559183716773987, 0.04268552362918854], [0.3609834313392639, 0.4964248836040497, 0.05903966352343559], [0.3905024528503418, 0.45059189200401306, 0.04198397696018219], [0.37819212675094604, 0.47707948088645935, 0.031637415289878845], [0.4501050114631653, 0.5436391830444336, 0.024053264409303665], [0.4003956913948059, 0.7080191373825073, 0.006716306786984205], [0.39832016825675964, 0.45828479528427124, 0.014415399171411991], [0.47379249334335327, 0.7248291373252869, 0.007734022103250027], [0.46318304538726807, 0.3842509388923645, 0.010090294294059277], [0.5299656987190247, 0.6244364976882935, 0.010331415571272373], [0.33275002241134644, 0.03096795082092285, 0.06575874984264374], [0.3542788624763489, 0.5886105895042419, 0.05908898264169693], [0.35861343145370483, 0.46121928095817566, 0.06631167978048325], [0.37269601225852966, 0.5182958245277405, 0.008577151224017143], [0.37223583459854126, 0.4794870615005493, 0.01106265839189291], [0.5658127069473267, 0.4913759231567383, 0.008203313685953617], [0.5468805432319641, 0.5238350629806519, 0.01570720598101616]]"
8,"[[0.38690468668937683, 0.4552842378616333, 0.04240040108561516], [0.36101245880126953, 0.49576830863952637, 0.0593048632144928], [0.39057427644729614, 0.44991347193717957, 0.042502425611019135], [0.35123032331466675, 0.47775956988334656, 0.03350852429866791], [0.45016056299209595, 0.5429207682609558, 0.024100761860609055], [0.4001590609550476, 0.7081500887870789, 0.006602348294109106], [0.398243248462677, 0.45793724060058594, 0.014390631578862667], [0.473575234413147, 0.7251219153404236, 0.007784872781485319], [0.4372062683105469, 0.3801204562187195, 0.012410837225615978], [0.5300227403640747, 0.6245838403701782, 0.0103484857827425], [0.3328346610069275, 0.030902639031410217, 0.06569430977106094], [0.3541197180747986, 0.5888115763664246, 0.058818474411964417], [0.3585525155067444, 0.46130436658859253, 0.0662468820810318], [0.37253913283348083, 0.5183629989624023, 0.008536119945347309], [0.372129887342453, 0.47950229048728943, 0.011053231544792652], [0.5657995939254761, 0.4916316866874695, 0.008184380829334259], [0.5468921661376953, 0.5239514112472534, 0.015800457447767258]]"
9,"[[0.3868349492549896, 0.45521554350852966, 0.04277445375919342], [0.36097443103790283, 0.49567145109176636, 0.05977976694703102], [0.390480101108551, 0.44987258315086365, 0.04299405217170715], [0.35123777389526367, 0.47781631350517273, 0.033858634531497955], [0.45005548000335693, 0.5427953600883484, 0.02421252615749836], [0.40017855167388916, 0.7080658674240112, 0.0066178166307508945], [0.39825671911239624, 0.4579174518585205, 0.01451403833925724], [0.473564475774765, 0.7251557111740112, 0.007756791543215513], [0.4371781051158905, 0.380279004573822, 0.012425988912582397], [0.5299893617630005, 0.6246072053909302, 0.010348152369260788], [0.33276471495628357, 0.030991442501544952, 0.06581894308328629], [0.3541615605354309, 0.58878493309021, 0.05872974917292595], [0.358522891998291, 0.4612964987754822, 0.06620185822248459], [0.3724975287914276, 0.5181783437728882, 0.008569000288844109], [0.37212929129600525, 0.47938787937164307, 0.011119525879621506], [0.565792977809906, 0.49158772826194763, 0.008200427517294884], [0.5468654632568359, 0.523972749710083, 0.01580185256898403]]"
